Date,Cases,Death,Diff,Noofdays
22/03/14,49,29,2,1
24/03/14,86,59,1,3
25/03/14,86,60,1,4
26/03/14,86,62,1,5
27/03/14,111,72,1,6
28/03/14,120,76,1,7
29/03/14,114,71,2,8
31/03/14,130,82,1,10
01/04/14,135,88,6,11
07/04/14,172,105,2,17
09/04/14,179,111,1,19
10/04/14,183,113,1,20
11/04/14,184,114,3,21
14/04/14,194,121,2,24
16/04/14,224,135,1,26
17/04/14,230,142,3,27
20/04/14,235,149,1,30
21/04/14,242,147,2,31
23/04/14,252,152,1,33
24/04/14,253,152,6,34
30/04/14,233,155,1,40
01/05/14,237,158,1,41
02/05/14,239,160,1,42
03/05/14,244,166,4,43
07/05/14,249,169,20,47
27/05/14,309,209,1,67
28/05/14,319,209,1,68
29/05/14,354,211,3,69
01/06/14,383,211,2,72
03/06/14,436,233,2,74
05/06/14,445,244,1,76
06/06/14,453,245,4,77
10/06/14,474,252,5,81
15/06/14,522,333,1,86
16/06/14,526,334,1,87
17/06/14,528,337,3,88
20/06/14,581,328,2,91
22/06/14,599,338,8,93
30/06/14,759,467,2,101
02/07/14,779,481,4,103
06/07/14,844,518,2,107
08/07/14,888,539,4,109
12/07/14,964,603,2,113
14/07/14,982,613,3,115
17/07/14,1048,632,3,118
20/07/14,1093,660,3,121
23/07/14,1201,672,4,124
27/07/14,1323,729,3,128
30/07/14,1440,826,2,131
01/08/14,1603,887,3,133
04/08/14,1711,932,2,136
06/08/14,1779,961,3,138
09/08/14,1848,1013,2,141
11/08/14,1975,1069,2,143
13/08/14,2127,1145,3,145
16/08/14,2240,1229,2,148
18/08/14,2473,1350,2,150
20/08/14,2615,1427,5,152
25/08/14,3017,1553,6,157
31/08/14,3707,1808,3,163
03/09/14,4001,2089,4,166
07/09/14,4366,2177,3,170
10/09/14,4846,2375,4,173
14/09/14,5339,2586,3,177
17/09/14,5762,2746,4,180
21/09/14,6263,2900,2,184
23/09/14,6574,3043,2,186
25/09/14,6808,3159,3,188
28/09/14,7192,3286,3,191
01/10/14,7493,3439,7,194
08/10/14,8011,3857,9,201
17/10/14,9668,4802,2,210
19/10/14,9911,4890,5,212
24/10/14,11868,5026,6,217
30/10/14,12647,5087,3,223
02/11/14,13014,5191,2,226
04/11/14,13200,5275,5,228
09/11/14,14068,5496,2,233
11/11/14,14383,5492,1,235
12/11/14,14413,5498,-41955,236
