Country,Happy Planet Index
Costa Rica,44.7
Mexico,40.7
Colombia,40.7
Vanuatu,40.6
Vietnam,40.3
Panama,39.5
Nicaragua,38.7
Bangladesh,38.4
Thailand,37.3
Ecuador,37
Jamaica,36.9
Norway,36.8
Albania,36.8
Uruguay,36.1
Spain,36
Indonesia,35.7
El Salvador,35.6
Netherlands,35.3
Argentina,35.2
Philippines,35
Peru,34.6
Palestine,34.5
Brazil,34.3
Switzerland,34.3
Tajikistan,34.2
Guatemala,34.2
Belize,33.8
Sri Lanka,33.8
Venezuela,33.6
Algeria,33.3
Kyrgyzstan,33.1
Denmark,32.7
Morocco,32.7
United Kingdom,31.9
Chile,31.7
Pakistan,31.5
Finland,31.3
New Zealand,31.3
Iceland,31.1
Georgia,31.1
Cyprus,30.7
Nepal,30.5
Austria,30.5
France,30.4
Dominican Republic,30.3
Malaysia,30.3
Croatia,30.2
Ireland,30
Germany,29.8
India,29.2
Uzbekistan,29.1
Serbia,29
Malta,29
Israel,28.8
Romania,28.8
Bhutan,28.6
Haiti,28.6
Japan,28.3
Slovakia,28.2
Italy,28.1
Sweden,28
Poland,27.5
Mauritius,27.4
Czech Republic,27.3
Honduras,27.2
Ethiopia,26.7
Iraq,26.5
Turkey,26.4
Hungary,26.4
Ukraine,26.4
Tunisia,26.2
China,25.7
Armenia,25.7
Cambodia,25.6
Suriname,25.4
Bosnia and Herzegovina,25.3
Zambia,25.2
Montenegro,25.1
Portugal,24.8
South Korea,24.8
Myanmar,24.7
Slovenia,24.6
Kenya,24.2
Iran,24
Canada,23.9
Egypt,23.8
Belgium,23.7
Mozambique,23.7
Greece,23.6
Macedonia,23.4
Paraguay,23.3
Bolivia,23.3
Comoros,23.1
Yemen,22.8
Nigeria,22.2
Liberia,22.2
Tanzania,22.1
Malawi,22.1
Zimbabwe,22.1
Lebanon,21.9
Senegal,21.9
Belarus,21.7
Namibia,21.6
Ghana,21.4
Australia,21.2
Oman,21.1
Lithuania,21
United States of America,20.7
Bulgaria,20.4
Afghanistan,20.2
Rwanda,19.6
Uganda,19.4
Syria,19.1
Kazakhstan,19.1
Republic of Congo,18.8
Russia,18.7
Mauritania,18
Estonia,17.9
Burkina Faso,17.9
Gabon,17.5
Latvia,17.1
Niger,16.8
Hong Kong,16.8
Cameroon,16.7
Lesotho,16.7
Botswana,16.6
Djibouti,16.4
South Africa,15.9
Guinea,15.9
Trinidad and Tobago,15.7
Burundi,15.6
Swaziland,15.5
Sierra Leone,15.3
Turkmenistan,14.6
Cote d'Ivoire,14.4
Mongolia,14.3
Benin,13.4
Togo,13.2
Luxembourg,13.2
Chad,12.8
