Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,31.7,,,,,,,,,24.6,,,,,19.1,,,,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,15.1,,,,,,,,19,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,6.3,,,,,,,,1.5,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,4.7,,,,,,,,,2.5,,,,,,,,,,,,,2,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.6,,,,,4.2,,,,,5.3,,,,,,2.6,,,,,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,14,5.9,,,,,8.4,,,,,6.5,,4.9,,,,,,,,,
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,39.1,,,,,35.2,,,,,29.1,,,,,,29.3,,29.6,27,27.7,,27.6
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,19.5,,,,,,,17.1,,,,,,18,,,,16.8,,,,
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,30.9,,,,,,,,,,26,26.2,25.1,24.3,20.9,20,22.8,18.9,16.2,17.7,16.4,12.6,17.7,
BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,,,,61.5,61.2,60.6,56.1,58,55.2,54,53.6,50.7,49.5,42.4,43.2,41,38.9,42.8,39.7,37.9,41.3,,,,36.7,34.4,31.9,32.8,28.9,,,21.9,22.6,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3.7,,,,,,,1.6,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,1.6,,,,,,1.6,,,,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,5,,,,,6.2,,,,4.6,,,,,,,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,8.5,9.7,10.2,10.5,,12.4,,,,5.9,,,,,5.8,,,,,4.5,,,,3.6,,,,3.4,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,4.5,,,,,,,,,,,2.2,,,,,,,,,,,,3.1,,,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,13.9,,,,,,,,,10.4,,12.7,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,11.1,,,,,,,11.8,,,,,,,,,,,,,,,
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,21.3,,,,,,26.1,,,,23.5,,24.5,,20,,,,19.7,21.5,,,
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,0.8,0.8,0.7,,0.7,0.7,,0.7,0.7,0.6,0.6,,0.6,0.6,0.5,,,,,0.5,0.5,,,,,,,,
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,12.6,,14.2,,,10.7,,,6.9,,7.4,,6.8,,,4.5,,,3.8,3.4,3.4,,,2.4,,,,,,,,,
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,20.9,,,,18.2,,,,,,,,,28.3,,,,,15.7,,,,12.8,,,,,14,
CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,18,,,,,,15.1,,16.5,,,,,15.2,,,14.8,,,,11,,,,
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,30.3,,,,,,25.6,,,24.2,,,23.4,,,,23.1,,,,,
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,11.9,,,,,,11.8,,,12.3,,,,,,,,
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,8.8,,,,,,6.3,,,,,4.9,,,,,5,,,,,3.4,,,,,,3.7,,,,,,
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,22.4,,,,25.1,,,,,,,,,,,,16.9,,,,,,,,,,
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.5,2.2,2,2,1.9,,3.8,,,,,,,,,,,,0.9,,,,,,,,,,2.9,,,,
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,2.4,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,0.5,,,,,,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,16,,,,,,,,,,,,,,,22,,26,,,,,,16.2,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,8.4,,,,,4.7,,,,3.3,,4.2,,,,3.9,3.4,,,,,,4,,,,,,3,,,
DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,9.2,,,11.3,,,,,5.4,,11.1,,,,3.4,,,,,,3,,,,,,,2.7,,,
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05006504,11.55316257,11.07948971,10.61810684,10.16614056,9.734840393,9.316498756,8.90180397,8.497493744,8.104453087,7.732470036,7.38763237,7.050087929,6.730844498,6.439754486,6.172267914,5.914565563,5.663881779,5.457262039,5.298541546,5.179109573,5.115036488,5.105260372
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,10.4,,,,,6.7,,6.8,,,,,,6.4,,5.1,,,,,5.2,,,
EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,10.5,8.2,,,10.8,,10.2,9.4,,,,,8.7,,5.4,,,6.8,,,,,,7,,,,,,,,
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,39.3,,,,,,,34.3,,,,,,,,39.4,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,,,,,,,41.8,,,,,34.3,,,,,,29.2,,,26.5,,23.5,,,21.2,,,
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,4.6,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,6.4,,,,,,,,5.4,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,2.4,,,,1.1,,,,,,,,,2.1,,,,
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,25.1,,,,22.2,20.1,,,,,19,,,13.9,,14.4,,,13.4,,,11.2,,,12.6,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,20,,,,,,22.7,,16.4,,,,,18.8,,,,18.3,,16.3,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,15.4,,,,,,15.8,,,,17.4,,17.9,16.5,,,,,13.9,,11.6,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,18,,17,,17,,,,,16.3,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,15.7,,,,10.6,,,,,,,5.6,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,21.7,,,,20.3,18.8,,18.2,,,,,,,14.1,,,,,,12.4,,,,,,14.4,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,10.3,,,11.9,,,,,,10.8,,,11,,,,,8.2,,,,,9.4,,,
